ISO3,Name,&nbsp;,&nbsp;.1,Gain,Categoryy,CO2 per Capita,Color
DMA,Dominica,0.446063063959427,0.518993728865508,53.646533245304,BLUE,2.36742426732591,#18a1cd
DOM,Dominican Republic,0.426534383630144,0.355894581490989,46.4680098930423,YELLOW,2.53562795178678,#fa8c00
ECU,Ecuador,0.447384739764334,0.335181308998329,44.3898284616998,RED,2.26146981694915,#c71e1d
EGY,Egypt,0.441629495785939,0.343858525274108,45.1114514744084,RED,2.48405991083232,#c71e1d
SLV,El Salvador,0.44400821988805,0.346666807511202,45.1329293811576,RED,1.20863713626374,#c71e1d
GNQ,Equatorial Guinea,0.443788562863465,0.236992667746831,39.6602052441683,RED,3.94548003191235,#c71e1d
ERI,Eritrea,0.590837015905184,0.212355547875245,31.0759265985031,RED,0.251635846107416,#c71e1d
EST,Estonia,0.363234597779934,0.618477834692047,62.7621618456057,GREEN,7.67227790917304,#00dca6
ETH,Ethiopia,0.563030420255687,0.306121825323745,37.1545702534029,RED,0.16381342920099,#c71e1d
FJI,Fiji,0.436204151790743,0.472425835105015,51.8110841657136,BLUE,1.83155327542587,#18a1cd
FIN,Finland,0.309758545807706,0.750667267315567,72.045436075393,GREEN,7.37285476082008,#00dca6
FRA,France,0.309778348241167,0.648524987466746,66.937331961279,GREEN,4.46877008881409,#00dca6
GAB,Gabon,0.423869106193023,0.297962162664258,43.7046528235617,YELLOW,2.41648401116093,#fa8c00
GMB,Gambia,0.545363626154438,0.328818963998126,39.1727668921844,RED,0.247050718368434,#c71e1d
GEO,Georgia,0.409754145759607,0.566164135033675,57.8204994637034,GREEN,2.71762422558518,#00dca6
DEU,Germany,0.293203933662162,0.690177173155596,69.8486619746717,GREEN,7.91162101567715,#00dca6
GHA,Ghana,0.470845563459753,0.350604238196081,43.9879337368164,RED,0.658823540945168,#c71e1d
GRC,Greece,0.327295728286493,0.531361436157473,60.203285393549,GREEN,5.59618906985928,#00dca6
GRD,Grenada,0.390286164809319,0.462066615617136,53.5890225403909,GREEN,2.94637607465065,#00dca6
GTM,Guatemala,0.447415737786393,0.315931525390814,43.4257893802211,RED,1.16297092439764,#c71e1d
GIN,Guinea,0.53209034100728,0.312703709206483,39.0306684099602,RED,0.30928854143783,#c71e1d
GNB,Guinea-Bissau,0.658196949582899,0.269287965355595,30.5545507886348,RED,0.171792957797251,#c71e1d
GUY,Guyana,0.459289153358978,0.312166775035405,42.6438810838214,RED,3.64089285507658,#c71e1d
HTI,Haiti,0.531400735738813,0.231958824501077,35.0279044381132,RED,0.294768413969466,#c71e1d
HND,Honduras,0.462281442569754,0.267311064883928,40.2514811157087,RED,1.04862299152317,#c71e1d
HUN,Hungary,0.372480514784131,0.499735629062906,56.3627557139388,GREEN,4.74663102989868,#00dca6
ISL,Iceland,0.321201889636473,0.716842151233647,69.7820130798587,GREEN,4.54844225751086,#00dca6
IND,India,0.506309491761447,0.385969707771795,43.9830108005174,RED,1.79762011876852,#c71e1d
IDN,Indonesia,0.451379367661926,0.386502075192424,46.7561353765249,RED,2.2903971480842,#c71e1d
IRN,Iran,0.389113802698113,0.388919933311032,49.990306530646,YELLOW,7.59836484538996,#fa8c00
IRQ,Iraq,0.439442200742317,0.298124620928909,42.9341210093296,RED,4.44062412949085,#c71e1d
IRL,Ireland,0.31879252381871,0.598480012906524,63.9843744543907,GREEN,7.24514322077522,#00dca6
ISR,Israel,0.315589871788162,0.54192577031707,61.3167949264454,GREEN,6.91959371834315,#00dca6
ITA,Italy,0.323221211466696,0.522700128120751,59.9739458327027,GREEN,5.31131544170879,#00dca6
JAM,Jamaica,0.426361919319396,0.403371202065648,48.8504641373126,YELLOW,2.84573001224876,#fa8c00
JPN,Japan,0.379281267058302,0.68952534602986,65.5122039485779,GREEN,8.54098020491546,#00dca6
JOR,Jordan,0.379495319944051,0.407491599159921,51.3998139607935,YELLOW,2.43820411172168,#fa8c00
KAZ,Kazakhstan,0.358157794803846,0.517119451686512,57.9480828441333,GREEN,11.4569378323984,#00dca6
KEN,Kenya,0.52515927548217,0.299105690830078,38.6973207673954,RED,0.423783898343557,#c71e1d
PRK,North Korea,0.471776416398444,0.343975443639431,43.6099513620494,RED,2.18341993045969,#c71e1d
KOR,South Korea,0.381214292300005,0.724714631564898,67.1750169632446,GREEN,11.7993253802233,#00dca6
KWT,Kuwait,0.382952808603876,0.466524933236865,54.1786062316495,GREEN,22.0224164011923,#00dca6
KGZ,Kyrgyzstan,0.349928968594813,0.393521644436588,52.1796337920887,YELLOW,1.55664325620875,#fa8c00
LAO,Lao,0.526229195662484,0.328270922381999,40.1020863359757,RED,2.60968183422462,#c71e1d
LVA,Latvia,0.394663556061106,0.581806615798219,59.3571529868556,GREEN,3.95543586167438,#00dca6
LBN,Lebanon,0.419840113177868,0.29055677444246,43.5358330632296,YELLOW,4.07689427350833,#fa8c00
LSO,Lesotho,0.483622003002353,0.311348178491256,41.3863087744451,RED,0.362307409340339,#c71e1d
LBR,Liberia,0.602923636671224,0.278468506718157,33.7772435023467,RED,0.238993430019259,#c71e1d
LBY,Libyan Arab Jamahiriya,0.433808728943607,0.270715042092784,41.8453156574588,RED,8.38072934435112,#c71e1d
LTU,Lithuania,0.376500082803261,0.595683719899232,60.9591818547985,GREEN,4.19807602212644,#00dca6
LUX,Luxembourg,0.300923464496665,0.672333281966928,68.5704908735131,GREEN,15.3064265559542,#00dca6
MKD,Macedonia,0.372623930242324,0.469304159370385,54.8340114564031,GREEN,3.99673721344351,#00dca6
MDG,Madagascar,0.561024350301769,0.266448672657836,35.2712161178034,RED,0.152766255296265,#c71e1d
MWI,Malawi,0.548120613023809,0.287902079851243,36.9890733413717,RED,0.0778366839170854,#c71e1d
MYS,Malaysia,0.377174509298064,0.51003132021892,56.6428405460428,GREEN,7.92712603743521,#00dca6
MDV,Maldives,0.524909948262336,0.436463048293251,45.5776550015457,BLUE,3.97395626217534,#18a1cd
MLI,Mali,0.597837838719196,0.292367235704986,34.7264698492895,RED,0.29657101956316,#c71e1d
MLT,Malta,0.338239620713551,0.509800393582871,58.578038643466,GREEN,3.29324560594014,#00dca6
MRT,Mauritania,0.57053816634114,0.357162416638664,39.3312125148762,RED,0.872793555310964,#c71e1d
MUS,Mauritius,0.429222788316528,0.568485093437368,56.963115256042,GREEN,3.29459100560393,#00dca6
MEX,Mexico,0.416855031096561,0.366048158951361,47.45965639274,YELLOW,3.52160004771504,#fa8c00
FSM,Micronesia,0.58481139609837,0.354059187904058,38.4623895902844,RED,1.58156950692426,#c71e1d
MDA,Moldova,0.43059559809177,0.433954007376656,50.1679204642443,GREEN,3.32461016755783,#00dca6
MNG,Mongolia,0.390625898814803,0.460150763503009,53.4762432344103,GREEN,7.15312008585735,#00dca6
MNE,Montenegro,0.377478358991001,0.469314494630395,54.5918067819697,GREEN,4.17987599373753,#00dca6
MAR,Morocco,0.379831115739779,0.432120035971812,52.6144460116016,GREEN,1.95987228468546,#00dca6
MOZ,Mozambique,0.517378287756857,0.26856351051554,37.5592611379341,RED,0.246986411762639,#c71e1d
MMR,Myanmar,0.530017941069212,0.282121928535599,37.6051993733194,RED,0.679428522562061,#c71e1d
NAM,Namibia,0.474326209142085,0.376780474287339,45.1227132572627,RED,1.69170542764537,#c71e1d
NPL,Nepal,0.521157364020822,0.355569664079479,41.7206150029328,RED,0.470136453499051,#c71e1d
NLD,Netherlands,0.351482629304698,0.684251309478929,66.6384340087115,GREEN,8.43707462722941,#00dca6
NZL,New Zealand,0.310285683134415,0.704072479187762,69.6893398026673,GREEN,6.83041418732592,#00dca6
NIC,Nicaragua,0.446047927180731,0.27192623003162,41.2939151425444,RED,0.80054959429675,#c71e1d
NER,Niger,0.674887864647746,0.333103573230323,32.9107854291288,RED,0.0922322514104962,#c71e1d
NGA,Nigeria,0.500130060130056,0.250858246124371,37.5364092997158,RED,0.573636206051187,#c71e1d
NOR,Norway,0.256937713659564,0.765146394646355,75.4104340493396,GREEN,6.7222699848575,#00dca6
OMN,Oman,0.414309307480994,0.505513017825569,54.5601855172288,GREEN,15.2824363897061,#00dca6
PAK,Pakistan,0.529820845091259,0.310739347542506,39.0459251225624,RED,0.879965499388893,#c71e1d
PAN,Panama,0.390607443962236,0.380313392428509,49.4852974233136,YELLOW,3.1414549958525,#fa8c00
PNG,Papua New Guinea,0.536499048014022,0.284290881932771,37.3895916959374,RED,0.863707513959878,#c71e1d
PRY,Paraguay,0.402442984844219,0.363232490634256,48.0394752895019,YELLOW,1.16542523160477,#fa8c00
PER,Peru,0.433897229050545,0.405183276769228,48.5643023859342,RED,1.74559192668502,#c71e1d
PHL,Philippines,0.46273500759628,0.340289877118321,43.8777434761021,RED,1.34502905731688,#c71e1d
POL,Poland,0.326582332669501,0.545914250448128,60.9665958889314,GREEN,7.77364183861292,#00dca6
PRT,Portugal,0.334892663914555,0.578285064887328,62.1696200486387,GREEN,4.33976842606964,#00dca6
QAT,Qatar,0.375388146127246,0.534836526441998,57.9724190157376,GREEN,32.4744687618012,#00dca6
ROU,Romania,0.41276891923584,0.435258172436792,51.1244626600476,GREEN,3.81743447683141,#00dca6
RUS,Russia,0.350086960932479,0.550336507662827,60.0124773365174,GREEN,11.7972029330523,#00dca6
RWA,Rwanda,0.585759622490261,0.425694749993365,41.9967563751552,BLUE,0.105330369319572,#18a1cd
KNA,Saint Kitts and Nevis,0.455403240609411,0.566297662352556,55.5447210871572,BLUE,4.73180149146383,#18a1cd
LCA,Saint Lucia,0.358878152737247,0.445981459370643,54.3551653316698,GREEN,2.95412905964426,#00dca6
WSM,Samoa,0.487125673344199,0.428495697547221,47.0685012101511,BLUE,1.52212413389075,#18a1cd
STP,Sao Tome and Principe,0.528152203534612,0.36161655065492,41.6732173560154,RED,0.697518721217886,#c71e1d
SAU,Saudi Arabia,0.406825885099599,0.542993951930033,56.8084033415217,GREEN,15.2845787251876,#00dca6
SEN,Senegal,0.53162747952589,0.349655224311338,40.9013872392724,RED,0.651679183707327,#c71e1d
SRB,Serbia,0.432304973316506,0.445012806412086,50.635391654779,BLUE,6.61604693907974,#18a1cd
SYC,Seychelles,0.468967404541626,0.458107227599462,49.4569911528918,BLUE,6.24839963436737,#18a1cd
SLE,Sierra Leone,0.563010625438905,0.316063662782151,37.6526518671623,RED,0.115189572752666,#c71e1d
SGP,Singapore,0.392647604851657,0.804268920793762,70.5810657971052,GREEN,8.30707949147546,#00dca6
SVK,Slovakia,0.366319226414073,0.513056872831698,57.3368823208812,GREEN,5.69841625532024,#00dca6
SVN,Slovenia,0.321559534064566,0.603749115548556,64.1094790741995,GREEN,6.51220937780615,#00dca6
SLB,Solomon Islands,0.57143884101154,0.41448385967728,42.152250933287,BLUE,0.537457043456558,#18a1cd
SOM,Somalia,0.673150839543958,0.35616184055415,34.1505500505096,RED,0.0446807095514156,#c71e1d
ZAF,South Africa,0.41521543947398,0.363998680425148,47.4391620475584,YELLOW,7.5077360921292,#fa8c00
ESP,Spain,0.299602964122048,0.536000249437802,61.8198642657877,GREEN,5.09135092007508,#00dca6
LKA,Sri Lanka,0.47790043415621,0.398112578348733,46.0106072096261,RED,1.09067562659476,#c71e1d
SDN,Sudan,0.61753215612247,0.263189013564703,32.2828428721117,RED,0.481626765087475,#c71e1d
SUR,Suriname,0.406363004076513,0.331987401426588,46.2812198675038,YELLOW,4.55825378527259,#fa8c00
SWZ,Swaziland,0.518891652236368,0.311584815572833,39.6346581668233,RED,0.836140045223269,#c71e1d
SWE,Sweden,0.296002310661626,0.722726257586917,71.3361973462645,GREEN,3.4050379189887,#00dca6
CHE,Switzerland,0.255255646782898,0.693764112944982,71.9254233081042,GREEN,4.35904146198319,#00dca6
SYR,Syrian Arab Republic,0.465686231291926,0.22701644796155,38.0665108334812,RED,1.50613944194882,#c71e1d
TJK,Tajikistan,0.406757477567452,0.329314923778286,46.1278723105417,YELLOW,1.01061869242185,#fa8c00
TZA,Tanzania,0.520017098642886,0.301620405654246,39.080165350568,RED,0.214634960133583,#c71e1d
THA,Thailand,0.438031382250299,0.48662099368828,52.429480571899,BLUE,3.83609001895282,#18a1cd
TLS,Timor-Leste,0.499529530788676,0.369816205867742,43.5143337539533,RED,0.479460533259382,#c71e1d
TGO,Togo,0.521241553835046,0.348885991950586,41.382221905777,RED,0.29323120707198,#c71e1d
TON,Tonga,0.578524657440662,0.410171593306513,41.5823467932925,BLUE,1.53114440054471,#18a1cd
TTO,Trinidad and Tobago,0.375851233308117,0.340518565921696,48.2333666306789,YELLOW,12.3228548692176,#fa8c00
TUN,Tunisia,0.390124932904683,0.439754081665497,52.4814574380407,GREEN,2.55756420759521,#00dca6
TUR,Turkey,0.350169853473182,0.484070717444201,56.695043198551,GREEN,4.75658474979861,#00dca6
TKM,Turkmenistan,0.409275319639616,0.235173717284733,41.2949198822559,YELLOW,12.2633540880676,#fa8c00
UGA,Uganda,0.580074955629479,0.287850209612222,35.3887626991371,RED,0.132370788404111,#c71e1d
UKR,Ukraine,0.383332295600238,0.427213910082223,52.1940807240993,GREEN,3.93658353086744,#00dca6
ARE,United Arab Emirates,0.369916823716952,0.584618000723111,60.7350588503079,GREEN,19.3295632814806,#00dca6
GBR,United Kingdom,0.296110804575754,0.683382095357435,69.363564539084,GREEN,5.22051448799294,#00dca6
USA,U.S.,0.329037801149844,0.653280669789446,66.2121434319801,GREEN,14.6734106066885,#00dca6
URY,Uruguay,0.406487227940893,0.521350585399937,55.7431678729522,GREEN,1.87478454308499,#00dca6
UZB,Uzbekistan,0.396931800721177,0.385858175863724,49.4463187571274,YELLOW,3.47554445038462,#fa8c00
VUT,Vanuatu,0.54753800197206,0.357798268517472,40.5130133272706,RED,0.700275419810089,#c71e1d
VEN,Venezuela,0.389147764584799,0.190085207630194,40.0468721522697,YELLOW,3.93956620857458,#fa8c00
VNM,Viet Nam,0.482720492259469,0.42513663297744,47.1208070358985,BLUE,3.4883126360288,#18a1cd
YEM,Yemen,0.558355340681069,0.247884481371503,34.4764570345217,RED,0.380633360910495,#c71e1d
ZMB,Zambia,0.520933533409937,0.321071576240754,40.0069021415409,RED,0.38071705091289,#c71e1d
ZWE,Zimbabwe,0.55396968957582,0.215652875914677,33.0841593169428,RED,0.802978519634142,#c71e1d
