Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
Indonesia,5.568,5.67,5.466,1.318,1.361,1.184,0.472,0.779,0.399,0.055,23.67097701149426,24.44324712643678,21.264367816091955,8.477011494252874,13.990660919540232,7.16594827586207,0.9877873563218391
Bulgaria,5.463,5.569,5.357,1.088,1.629,1.469,0.567,0.62,0.083,0.006,19.915797181036062,29.818780889621088,26.88998718652755,10.378912685337726,11.349075599487461,1.519311733479773,0.10982976386600769
Armenia,5.455,5.56,5.35,1.379,1.444,1.154,0.603,0.65,0.051,0.173,25.27956003666361,26.471127406049494,21.154903758020165,11.054078826764435,11.915673693858846,0.9349220898258478,3.1714023831347387
South Africa,5.422,5.549,5.295,1.693,1.389,1.369,0.322,0.537,0.078,0.034,31.224640354112875,25.617853190704537,25.248985614164514,5.938767982294356,9.904094430099596,1.4385835485060865,0.6270748801180377
North Macedonia,5.369,5.468,5.27,1.26,1.475,1.277,0.569,0.58,0.194,0.015,23.46805736636245,27.472527472527474,23.784689886384804,10.597876699571614,10.80275656546843,3.6133358167256477,0.2793816353138387
Algeria,5.364,5.476,5.251,1.743,1.324,1.191,0.568,0.247,0.091,0.2,32.494407158836694,24.68307233407905,22.20357941834452,10.58911260253542,4.604772557792692,1.696495152870992,3.728560775540642
Hong Kong S.A.R. of China,5.316,5.403,5.229,0.333,1.909,1.184,0.857,0.485,0.147,0.402,6.26410835214447,35.910458991723104,22.272385252069224,16.12114371708051,9.123401053423628,2.765237020316027,7.5620767494356675
Albania,5.304,5.44,5.168,1.428,1.438,0.924,0.638,0.69,0.138,0.049,26.923076923076923,27.11161387631976,17.420814479638008,12.028657616892911,13.009049773755654,2.6018099547511313,0.9238310708898945
Tajikistan,5.281,5.361,5.201,,,,,,,,,,,,,,
Congo (Brazzaville),5.221,5.396,5.047,2.617,0.892,0.622,0.306,0.523,0.124,0.138,50.12449722275426,17.084849645661752,11.913426546638576,5.860946178892932,10.017238076996744,2.3750239417736063,2.643171806167401
Mozambique,5.216,5.406,5.027,2.536,0.56,0.883,0.156,0.728,0.158,0.196,48.619631901840485,10.736196319018406,16.928680981595093,2.9907975460122698,13.957055214723926,3.0291411042944785,3.7576687116564416
Georgia,5.185,5.283,5.087,1.349,1.467,0.99,0.524,0.68,0.0,0.174,26.017357762777245,28.293153326904534,19.09353905496625,10.106075216972036,13.114754098360656,0.0,3.3558341369334617
Iraq,5.166,5.283,5.049,1.809,1.249,0.996,0.498,0.425,0.141,0.048,35.01742160278745,24.177313201703445,19.279907084785133,9.639953542392567,8.226867982965542,2.729384436701509,0.9291521486643438
Nepal,5.158,5.29,5.027,1.783,0.965,0.99,0.443,0.653,0.209,0.115,34.56766188445133,18.708801861186505,19.193485847227606,8.588600232648313,12.659945715393564,4.0519581233036055,2.2295463357890655
Laos,5.139,5.261,5.017,1.529,1.208,0.846,0.423,0.796,0.17,0.167,29.75287020821171,23.506518777972367,16.46234676007005,8.231173380035026,15.489394823895699,3.3080365829928002,3.249659466822339
Gabon,5.106,5.243,4.969,1.66,1.403,1.038,0.344,0.516,0.045,0.1,32.51077164120642,27.47747747747748,20.329024676850764,6.737171954563259,10.105757931844888,0.881316098707403,1.9584802193497848
Ivory Coast,5.08,5.224,4.936,2.303,1.08,0.578,0.288,0.547,0.12,0.164,45.33464566929133,21.25984251968504,11.377952755905511,5.669291338582676,10.76771653543307,2.3622047244094486,3.2283464566929134
Guinea,5.023,5.166,4.881,2.497,0.831,0.622,0.236,0.521,0.21,0.107,49.71132789169819,16.543898068883138,12.38303802508461,4.698387417877763,10.372287477603027,4.18076846506072,2.130201075054748
Turkiye,4.975,5.085,4.866,1.083,1.702,1.175,0.631,0.202,0.068,0.115,21.768844221105528,34.21105527638191,23.61809045226131,12.683417085427138,4.060301507537689,1.3668341708542717,2.311557788944724
Senegal,4.969,5.096,4.841,2.071,0.927,0.751,0.392,0.607,0.152,0.069,41.678406117931175,18.655665123767356,15.113704970819079,7.88891124974844,12.215737572952303,3.05896558663715,1.388609378144496
Iran,4.923,5.024,4.822,1.057,1.435,1.136,0.571,0.366,0.235,0.123,21.47064797887467,29.148892951452364,23.07536055250863,11.59861872841763,7.434491163924436,4.773512086126345,2.4984765386959173
Azerbaijan,4.893,5.018,4.768,1.11,1.433,0.876,0.496,0.668,0.112,0.199,22.68546903740037,29.286736153688945,17.903126916002453,10.136930308604128,13.65215614142653,2.28898426323319,4.067034539137544
Nigeria,4.881,5.018,4.744,1.722,1.042,1.075,0.256,0.566,0.201,0.019,35.279655808236015,21.348084408932596,22.02417537389879,5.244826879737759,11.595984429420199,4.1180086047941,0.3892644949805367
State of Palestine,4.879,5.006,4.753,,,,,,,,,,,,,,
Cameroon,4.874,4.996,4.753,2.08,0.943,0.856,0.288,0.521,0.126,0.06,42.67542059909725,19.347558473533034,17.56257693885925,5.908904390644235,10.689372178908494,2.585145670906853,1.2310217480508823
Ukraine,4.873,4.988,4.758,0.753,1.35,1.315,0.513,0.631,0.285,0.025,15.452493330597166,27.703673301867433,26.985429919967164,10.527395854709624,12.948902113687666,5.848553252616457,0.5130309870716191
Namibia,4.832,4.958,4.705,1.446,1.266,1.212,0.307,0.47,0.069,0.061,29.92549668874172,26.200331125827812,25.08278145695364,6.353476821192053,9.726821192052979,1.4279801324503314,1.2624172185430464
