doc_id,paragraph_id,sentence_id,sentence,token_id,token,lemma,upos,xpos,feats,head_token_id,dep_rel,deps,misc
doc28792,1,1,sq.ft.central,1,sq.ft.central,sq.ft.central,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28803,1,1,lonely,1,lonely,lonely,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28810,1,1,admirable,1,admirable,admirable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28829,1,1,donate,1,donate,donate,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28833,1,1,puuuurfect,1,puuuurfect,puuuurfect,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc28845,1,1,puurfect,1,puurfect,puurfect,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc28847,1,1,bittern,1,bittern,bittern,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28890,1,1,ultramodern,1,ultramodern,ultramodern,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28916,1,1,minded,1,minded,mind,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28950,1,1,scared,1,scared,scared,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28961,1,1,puurrfect,1,puurrfect,puurrfect,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc28973,1,1,swest,1,swest,swest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc28974,1,1,freerent,1,freerent,freerent,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28991,1,1,festiaval,1,festiaval,festiaval,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28995,1,1,freshest,1,freshest,freshest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc28996,1,1,impressive_property_at_polk_ave,1,impressive_property_at_polk_ave,impressive_property_at_polk_ave,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29001,1,1,aware,1,aware,aware,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29008,1,1,february10th,1,february,february,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
doc29030,1,1,eccellent,1,eccellent,eccellent,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29031,1,1,sunnyval,1,sunnyval,sunnyval,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29079,1,1,trans:close,3,close,close,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29080,1,1,sp:easy,3,easy,easy,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29081,1,1,dt:can,1,dt,dt,ADJ,JJS,Degree=Sup,2,amod,NA,SpaceAfter=No
doc29082,1,1,hrwds:easy,3,easy,easy,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29085,1,1,carpet:big,3,big,big,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29086,1,1,kitchen:easy,3,easy,easy,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29091,1,1,patio.parking.central,1,patio.parking.central,patio.parking.central,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29097,1,1,carpet:easy,3,easy,easy,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
