homelon;homelat;homecontinent;n
-118.31;34.18;North America;41
-118.3;34.07;North America;2
-118.29;33.74;North America;7
-118.29;34.06;North America;2
-118.29;34.08;North America;2
-118.28;33.72;NA;2
-118.28;33.83;North America;8
-118.28;33.93;North America;5
-118.28;34.11;North America;4
-118.27;33.76;North America;4
-118.27;34.02;North America;4
-118.27;34.08;North America;6
-118.26;33.86;North America;140
-118.26;34.03;North America;11
-118.26;34.05;North America;16
-118.25;34.04;North America;15
-118.25;34.05;North America;37
-118.24;34.02;North America;2
-118.24;34.04;North America;2
-118.24;34.05;North America;2702
-118.24;34.07;North America;2
-118.22;33.9;North America;2
-118.22;34.05;North America;3
-118.22;34.14;North America;3
-118.21;34.05;North America;2
-118.2;51;North America;5
-118.19;33.77;North America;116
-118.18;33.86;North America;10
-118.18;34.08;North America;2
-118.16;33.93;North America;2
-118.15;34.12;North America;2
-118.14;34.15;North America;23
-118.13;33.85;North America;2
-118.13;33.94;North America;2
-118.13;34.1;North America;3
-118.13;34.19;North America;2
-118.13;34.2;North America;10
-118.13;34.61;North America;3
-118.12;34.58;North America;8
-118.11;34.08;North America;16
-118.1;33.74;North America;38
-118.09;33.95;North America;10
-118.08;33.9;North America;4
-118.07;33.72;North America;2
-118.07;34.08;North America;4
-118.05;33.9;North America;7
-118.05;34.16;North America;53
-118.03;33.74;North America;6
-118.03;34.02;North America;2
-118.02;33.8;North America;2
-118;33.66;North America;324
-118;33.66;NA;5
-117.99;35.13;North America;12
-117.98;34.03;North America;274
-117.96;33.82;North America;2
-117.96;34.02;North America;2
-117.95;34.02;North America;2
-117.94;33.77;North America;11
-117.94;34.07;North America;3
-117.94;34.92;North America;4
-117.93;33.62;North America;493
-117.92;33.62;North America;3
-117.92;33.64;North America;33
-117.92;33.68;North America;2
-117.92;33.81;North America;3
-117.92;33.87;North America;6
-117.91;33.84;North America;140
-117.91;33.98;North America;2
-117.9;33.99;North America;2
-117.89;33.61;North America;3
-117.89;33.69;North America;8
-117.89;34.08;North America;2
-117.88;33.67;North America;16
-117.87;33.6;North America;6
-117.87;33.75;North America;13
-117.87;34.14;North America;2
-117.86;33.66;North America;2
-117.85;33.79;North America;32
-117.84;33.6;North America;3
-117.83;33.68;North America;11
-117.83;33.72;North America;774
-117.79;33.54;North America;5
-117.79;33.68;North America;31
-117.78;33.54;North America;158
-117.78;33.55;North America;2
-117.76;33.71;North America;2
-117.76;33.73;North America;2
-117.75;34.06;North America;3
-117.74;33.57;North America;2
-117.73;33.57;North America;5
-117.73;33.99;North America;2
-117.73;34.05;North America;2
-117.72;34.1;North America;3
-117.71;33.52;North America;4
-117.71;40.98;North America;2
-117.7;33.47;NA;43
-117.7;33.59;North America;3
-117.69;33.46;NA;4
-117.69;33.65;North America;2
-117.69;34.01;North America;8
-117.69;34.08;North America;4
-117.68;33.48;North America;1449
-117.67;33.6;North America;19
-117.65;34.06;North America;4
-117.65;34.1;North America;2
-117.61;33.43;North America;311
-117.59;33.88;North America;7
-117.59;34.11;North America;28
-117.58;33.42;North America;2
-117.57;33.88;North America;3
-117.43;34.13;North America;3
-117.43;47.66;North America;10
-117.41;34.58;North America;2
-117.41;47.75;North America;2
-117.4;33.95;North America;12
-117.38;33.19;North America;13
-117.38;33.2;North America;188
-117.38;34.05;North America;11
-117.36;34.44;North America;49
-117.35;33.16;North America;152
-117.33;33.96;North America;6
-117.31;33.13;North America;6
-117.3;33.07;North America;22
-117.29;33.04;North America;137
-117.28;32.83;NA;2
-117.28;33.02;North America;16
-117.27;32.83;NA;64
-117.27;32.96;North America;90
-117.27;32.99;North America;53
-117.25;32.75;North America;14
-117.25;32.77;North America;6
-117.25;33.38;North America;2
-117.24;32.8;North America;20
-117.24;32.87;North America;4
-117.24;33.08;North America;6
-117.24;33.2;North America;16
-117.24;34.24;North America;4
-117.23;32.71;North America;2
-117.23;32.88;North America;2
-117.23;33.02;North America;2
-117.22;32.8;North America;140
-117.21;33.55;North America;2
-117.2;32.75;North America;2
-117.2;32.81;North America;2
-117.2;32.94;North America;4
-117.2;33.02;North America;14
-117.2;33.56;North America;2
-117.19;32.68;NA;6
-117.19;33.7;North America;3
-117.19;34.25;North America;2
-117.18;32.82;North America;13
-117.18;34.06;North America;14
-117.16;32.71;North America;6
-117.16;32.72;North America;2387
-117.15;33.49;North America;43
-117.14;32.81;North America;4
-117.14;32.88;North America;3
-117.13;32.91;North America;8
-117.13;32.99;North America;2
-117.12;32.97;North America;5
-117.11;32.58;North America;48
-117.11;32.97;North America;17
-117.09;32.8;North America;3
-117.09;33.12;North America;5
-117.08;32.64;North America;5
-117.08;32.7;North America;2
-117.06;32.92;North America;5
-117.04;32.51;South America;21
-117.04;32.54;North America;2
-117.04;32.94;North America;5
-117.03;33.22;North America;4
-117;32.74;North America;2
-116.97;33.75;North America;7
-116.96;33.27;North America;7
-116.95;47.72;North America;18
-116.94;44.02;North America;7
-116.93;32.54;South America;3
-116.92;32.86;North America;3
-116.91;34.24;North America;6
-116.89;32.47;South America;2
-116.78;47.68;North America;22
-116.68;35.26;North America;2
-116.6;31.87;South America;56
-116.58;53.93;North America;39
-116.56;43.54;North America;3
-116.55;33.83;North America;15
-116.43;34.13;North America;6
-116.42;34.96;North America;369
-116.42;38.8;North America;22
-116.41;33.74;North America;4
-116.39;43.61;North America;2
-116.36;33.77;North America;6
-116.24;43.62;North America;2
-116.22;33.72;North America;4
-116.21;43.62;North America;42
-116.18;51.43;North America;5
-116.1;44.91;North America;4
-116.03;50.51;North America;6
-115.58;48.94;North America;4
-115.45;32.62;South America;6
-115.43;36.14;North America;2
-115.4;32.81;North America;6
-115.28;30.84;South America;6
-115.21;36.23;North America;13
-115.18;36.1;North America;3
-115.18;36.13;North America;2
-115.17;36.1;North America;20
-115.17;36.11;North America;2
-115.15;36.08;North America;3
-115.15;36.1;North America;12
-115.14;36.17;North America;205
-115.13;35.99;North America;3
-115.12;36.16;North America;33
-115.12;36.2;North America;2
-115.11;36.1;North America;3
-115.11;36.2;North America;6
-115.1;35.98;North America;23
-114.74;44.07;North America;62
-114.63;32.69;North America;5
-114.47;51.19;North America;2
-114.36;34.14;North America;2
-114.35;53.73;North America;2
-114.28;51.19;North America;11
-114.07;51.05;North America;177
-114.06;51.05;North America;5
-114.04;40.74;North America;8
-114.02;51.13;North America;2
-114;46.88;North America;8
-113.99;51.07;North America;3
-113.9;50.97;North America;6
-113.82;51.05;North America;4
-113.7;53.41;North America;2
-113.69;37.34;North America;12
-113.66;37.71;North America;74
-113.65;37.71;North America;2
-113.63;53.63;North America;5
-113.59;37.11;North America;5
-113.58;37.11;North America;4
-113.57;37.1;North America;3
-113.49;53.54;North America;56
-113.47;53.52;North America;2
-113.42;53.35;North America;10
-113.29;37.18;North America;7
-113.29;54.72;North America;5
-113.28;37.18;North America;15
-113.28;37.25;North America;33
-113.27;37.2;North America;5
-113.27;37.21;North America;11
-113.19;37.2;North America;2
-113.13;41.97;North America;2
-112.88;45.11;North America;3
-112.84;49.69;North America;4
-112.72;32.95;North America;35
-112.64;38.27;North America;8
-112.57;39.35;North America;9
-112.51;33.47;North America;2
-112.47;34.54;North America;3
-112.47;34.55;North America;17
-112.43;40.6;North America;2
-112.32;38.97;North America;11
-112.32;38.98;North America;12
-112.3;40.53;North America;2
-112.27;33.6;North America;2
-112.27;39.1;North America;6
-112.23;33.64;North America;2
-112.19;38.21;North America;4
-112.17;33.72;North America;4
-112.16;37.67;North America;2
-112.15;33.45;North America;2
-112.12;38.63;North America;8
-112.11;41.11;North America;2
-112.1;40.57;North America;4
-112.1;41.77;North America;2
-112.09;44.4;North America;2
-112.08;38.77;North America;6
-112.07;33.45;North America;77
-112.07;33.46;North America;26
-112.05;33.5;North America;6
-112.03;41.14;North America;4
-112.01;33.47;North America;24
-112;33.52;North America;4
-111.98;33.34;North America;4
-111.98;40.62;North America;6
-111.98;41.21;North America;2
-111.98;41.24;North America;7
-111.94;33.29;North America;4
-111.94;33.42;North America;2
-111.94;33.43;North America;17
-111.94;41.04;North America;2
-111.93;33.49;North America;84
-111.93;40.56;North America;3
-111.93;40.84;North America;2
-111.91;40.77;North America;8
-111.9;40.77;North America;2
-111.89;40.53;North America;2
-111.89;40.61;North America;72
-111.89;40.62;North America;17
-111.89;40.76;North America;57
-111.89;40.98;North America;21
-111.88;40.76;North America;4
-111.88;40.89;North America;4
-111.88;42.1;North America;4
-111.86;34.57;North America;2
-111.86;38.96;North America;3
-111.85;40.39;North America;4
-111.84;33.31;North America;2
-111.84;40.56;North America;3
-111.83;33.42;North America;12
-111.83;41.74;North America;5
-111.82;40.67;North America;2
-111.82;40.71;North America;4
-111.81;40.7;North America;2
-111.8;40.38;North America;29
-111.79;33.35;North America;5
-111.78;40.38;North America;4
-111.76;34.86;North America;2
-111.7;40.31;North America;2
-111.69;40.3;North America;3
-111.68;41.04;North America;20
-111.67;26.04;South America;29
-111.66;40.11;North America;6
-111.66;40.23;North America;3
-111.65;35.2;North America;3
-111.65;40.16;North America;18
-111.65;40.27;North America;9
-111.64;39.49;North America;5
-111.61;40.17;North America;2
-111.61;40.19;North America;17
-111.6;37.77;North America;10
-111.58;40.25;North America;25
-111.5;40.65;North America;6
-111.48;40.64;North America;2
-111.47;40.7;North America;2
-111.46;39.55;North America;2
-111.42;28.29;NA;2
-111.42;56.78;North America;3
-111.28;40.61;North America;5
-111.17;32.24;North America;2
-111.09;34.05;North America;189
-111.09;39.32;North America;31
-111.05;39.23;North America;4
-111.04;45.68;North America;2
-111.02;39.21;North America;17
-110.98;29.1;South America;28
-110.96;29.07;South America;7
-110.93;31.46;North America;2
-110.93;32.22;North America;37
-110.91;27.9;South America;2
-110.85;32.58;North America;7
-110.79;33.39;North America;1136
-110.76;31.54;North America;2
-110.76;43.48;North America;3
-110.75;43.47;North America;2
-110.57;45.67;North America;6
-110.56;45.66;North America;7
-110.36;46.88;North America;7
-110.33;29.3;South America;8
-110.31;24.14;South America;15
-110.23;23.45;South America;2
-110.17;23.37;South America;4
-110.17;34.9;North America;2
-110.16;39;North America;2
-110.04;40.27;North America;11
-109.99;40.3;North America;7
-109.93;33.81;North America;2
-109.92;22.89;South America;72
-109.87;43.7;North America;2
-109.72;23.02;South America;2
-109.72;40.99;North America;5
-109.71;23.08;South America;113
-109.7;23.06;South America;21
-109.7;23.68;South America;35
-109.59;33.91;North America;2
-109.35;-27.11;South America;19
-109.23;36.42;North America;2
-109.23;54.4;North America;2
-108.99;25.79;South America;2
-108.5;45.81;North America;2
-108.15;32.78;North America;3
-107.88;37.28;North America;44
-107.8;50.29;North America;2
-107.73;32.24;North America;2
-107.48;25.17;South America;2
-107.43;32.45;North America;14
-107.4;24.81;South America;2
-107.39;24.81;South America;4
-107.29;43.08;North America;3
-107.02;32.84;North America;2
-107.01;42.2;North America;2
-106.87;39.15;North America;12
-106.82;39.19;North America;5
-106.76;32.32;North America;2
-106.76;34.74;North America;2
-106.7;44.35;North America;2
-106.67;52.13;North America;8
-106.66;35.23;North America;2
-106.61;35.09;North America;28
-106.58;35.18;North America;2
-106.49;31.76;South America;16
-106.48;31.76;South America;4
-106.47;36.33;North America;2
-106.45;52.94;North America;2
-106.43;23.26;South America;4
-106.42;31.69;South America;2
-106.41;23.25;South America;6
-106.37;39.64;North America;2
-106.35;56.13;North America;330
-106.28;43.41;North America;11
-106.11;28.65;South America;32
-106.11;38.82;North America;6
-106.1;28.66;South America;6
-106.07;28.63;South America;4
-105.94;35.69;North America;4
-105.87;34.52;North America;21
-105.78;39.55;North America;351
-105.55;32.5;North America;3
-105.53;20.78;NA;13
-105.51;39.96;North America;204
-105.44;20.87;NA;103
-105.33;20.76;South America;25
-105.32;39.63;North America;3
-105.3;20.71;NA;32
-105.29;20.7;NA;6
-105.28;40.04;North America;2
-105.27;21.03;South America;4
-105.27;40.01;North America;75
-105.26;40;North America;2
-105.26;54.53;North America;81
-105.25;20.81;South America;2
-105.25;39.98;North America;5
-105.23;20.65;South America;84
-105.23;33.19;North America;2
-105.2;38.45;North America;2
-105.16;21.17;South America;2
-105.1;40.55;North America;2
-105.09;39.8;North America;3
-105.08;39.7;North America;2
-105.08;40.59;North America;7
-105.07;33.34;North America;3
-105.07;40.4;North America;3
-105.06;39.78;North America;2
-105.04;38.84;North America;4
-105.04;39.78;North America;3
-105.02;39.61;North America;8
-105;39.76;North America;5
-104.99;39.67;North America;2
-104.99;39.73;North America;26
-104.99;39.74;North America;103
-104.96;39.64;North America;5
-104.96;39.76;North America;13
-104.94;39.69;North America;2
-104.89;21.5;South America;5
-104.87;39.87;North America;2
-104.86;40.33;North America;3
